2024-11-22 at 23:01 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:01 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 805550691}: Mapper 'Mapper[User(users)]' has no property 'posts'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-11-22 at 23:05 | INFO | Бот остановлен
2024-11-22 at 23:05 | INFO | Бот успешно запущен.
2024-11-22 at 23:05 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:05 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 805550691}: Mapper 'Mapper[User(users)]' has no property 'post'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-11-22 at 23:05 | INFO | Бот остановлен
2024-11-22 at 23:05 | INFO | Бот успешно запущен.
2024-11-22 at 23:06 | INFO | Бот остановлен
2024-11-22 at 23:06 | INFO | Бот успешно запущен.
2024-11-22 at 23:06 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:06 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 805550691}: Mapper 'Mapper[Post(posts)]' has no property 'users'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-11-22 at 23:07 | INFO | Бот остановлен
2024-11-22 at 23:10 | INFO | Бот успешно запущен.
2024-11-22 at 23:10 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:10 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 805550691}: Mapper 'Mapper[Post(posts)]' has no property 'users'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-11-22 at 23:10 | INFO | Бот остановлен
2024-11-22 at 23:11 | INFO | Бот успешно запущен.
2024-11-22 at 23:11 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:11 | INFO | Запись не найдена по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:14 | INFO | Бот остановлен
2024-11-22 at 23:14 | INFO | Бот успешно запущен.
2024-11-22 at 23:14 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:14 | INFO | Запись не найдена по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:14 | INFO | Добавление записи User с параметрами: {'tg_id': 805550691, 'username': 'bomjkee'}
2024-11-22 at 23:14 | INFO | Запись User успешно добавлена.
2024-11-22 at 23:18 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-11-22 at 23:18 | INFO | Запись не найдена по фильтрам: {'tg_id': 741185494}
2024-11-22 at 23:18 | INFO | Добавление записи User с параметрами: {'tg_id': 741185494, 'username': 'fukkacum1'}
2024-11-22 at 23:18 | INFO | Запись User успешно добавлена.
2024-11-22 at 23:45 | INFO | Бот успешно запущен.
2024-11-22 at 23:45 | INFO | Бот остановлен
2024-11-22 at 23:58 | INFO | Бот успешно запущен.
2024-11-22 at 23:58 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:58 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-11-22 at 23:58 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
